# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,938.00,12.68,652.00,12.67,810.26,38.30,73.87,74.07,73.74,1.12,0.52
6,802.00,12.68,548.00,12.68,810.32,38.43,73.63,73.96,73.63,1.11,0.40
9,728.00,12.68,482.00,12.68,810.30,38.50,73.62,74.07,73.74,1.10,1.10
12,744.00,12.68,478.00,12.68,810.26,38.55,73.62,74.07,73.63,1.09,1.11
15,734.00,12.68,488.00,12.68,810.22,38.24,73.56,74.07,73.74,1.09,0.92
18,800.00,12.68,554.00,12.68,810.32,38.17,73.54,74.07,73.74,1.08,0.91
21,792.00,12.68,554.00,12.68,810.29,38.17,73.53,74.07,73.74,1.07,0.80
24,800.00,12.68,554.00,12.68,810.23,38.34,73.53,73.96,73.74,1.06,0.80
27,802.00,12.68,550.00,12.68,810.23,38.40,73.51,73.96,73.74,1.06,0.72
30,728.00,12.68,478.00,12.68,810.27,38.27,73.49,73.96,73.74,1.05,0.69
33,740.00,12.68,476.00,12.68,810.30,37.99,73.47,73.96,73.63,1.04,0.52
36,738.00,12.68,476.00,12.68,810.30,38.04,73.47,73.96,73.74,1.04,0.60
39,800.00,12.68,544.00,12.68,810.24,38.05,73.42,73.96,73.74,1.03,0.62
42,792.00,12.68,554.00,12.68,810.22,38.13,73.44,74.07,73.63,1.02,0.60
45,738.00,12.68,484.00,12.68,810.24,37.93,73.44,73.96,73.74,1.01,0.50
48,730.00,12.68,488.00,12.68,810.26,38.25,73.40,73.96,73.74,1.01,0.40
51,806.00,12.68,544.00,12.68,810.28,38.51,73.38,73.96,73.74,1.00,0.40
54,728.00,12.68,482.00,12.68,810.24,38.56,73.36,73.96,73.74,0.99,0.40
57,728.00,12.68,482.00,12.68,810.26,38.15,73.36,73.96,73.74,0.98,0.70
60,796.00,12.68,550.00,12.68,810.23,38.46,73.35,73.85,73.74,0.98,0.70
63,738.00,12.68,484.00,12.68,810.24,38.48,73.35,73.96,73.74,0.97,0.62
66,740.00,12.68,488.00,12.67,810.18,39.33,73.33,73.96,73.74,0.97,0.44
69,730.00,12.68,488.00,12.68,810.22,39.27,73.31,73.96,73.74,0.96,0.40
72,740.00,12.68,494.00,12.68,810.17,39.41,73.31,73.85,73.74,0.95,0.30
75,738.00,12.68,478.00,12.68,810.25,39.77,73.26,73.85,73.74,0.95,0.30
78,740.00,12.68,482.00,12.68,810.23,39.28,73.27,73.96,73.74,0.94,0.50
81,802.00,12.68,544.00,12.68,810.22,38.72,73.24,73.96,73.63,0.93,0.32
84,796.00,12.68,550.00,12.67,810.23,38.46,73.24,73.96,73.63,0.92,0.32
87,740.00,12.68,484.00,12.68,810.23,38.54,73.22,73.85,73.63,0.92,0.30
