# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,642.00,13.05,630.00,13.05,74.07,74.19,27.07,2.54
6,554.00,13.06,456.00,13.05,74.07,74.19,27.03,2.83
9,564.00,13.05,448.00,13.05,74.07,74.19,27.04,3.08
12,558.00,13.06,452.00,13.05,74.07,74.19,26.99,3.13
15,548.00,13.05,446.00,13.05,74.07,74.19,26.99,3.11
18,550.00,13.05,448.00,13.05,74.07,74.19,26.97,2.63
21,560.00,13.06,446.00,13.05,74.07,74.30,26.96,2.01
24,630.00,13.06,512.00,13.04,74.19,74.19,26.93,1.90
27,554.00,13.05,452.00,13.05,74.07,74.19,26.91,1.71
30,616.00,13.05,514.00,13.04,74.07,74.19,26.89,2.81
33,586.00,13.05,492.00,13.04,74.07,74.19,26.88,3.08
36,606.00,13.05,492.00,13.04,74.07,74.19,26.85,2.60
39,600.00,13.05,482.00,13.04,74.07,74.19,26.83,2.70
42,648.00,13.05,538.00,13.04,74.07,74.19,26.81,2.91
45,658.00,13.05,544.00,13.04,74.07,74.19,26.79,2.11
