# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[Main], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,630.00,12.33,540.00,12.32,60.35,55.74,56.99,1.62
6,602.00,12.31,538.00,12.30,60.35,55.85,57.01,1.31
9,540.00,12.28,476.00,12.28,60.46,55.85,57.04,1.27
12,538.00,12.26,476.00,12.26,60.35,55.74,57.06,1.12
15,530.00,12.24,468.00,12.24,60.35,55.74,57.14,1.00
18,600.00,12.22,534.00,12.22,60.35,55.74,57.22,1.00
21,534.00,12.21,476.00,12.20,60.35,55.74,57.31,0.93
24,524.00,12.20,476.00,12.20,60.35,55.85,57.40,0.93
27,594.00,12.18,540.00,12.18,60.35,55.85,57.50,0.80
30,534.00,12.18,478.00,12.17,60.35,55.85,57.56,1.09
33,590.00,12.15,540.00,12.15,60.46,55.85,57.69,1.52
36,528.00,12.14,476.00,12.14,60.46,55.85,57.78,1.53
39,528.00,12.13,472.00,12.13,60.35,55.85,57.83,1.50
42,528.00,12.12,472.00,12.12,60.35,55.85,57.95,2.19
45,590.00,12.11,544.00,12.10,60.35,55.85,58.01,2.37
48,522.00,12.10,476.00,12.10,60.46,55.85,58.05,2.31
51,584.00,12.08,540.00,12.08,60.46,55.85,58.14,1.81
54,524.00,12.08,472.00,12.08,60.46,55.96,58.15,1.53
57,580.00,12.07,534.00,12.06,60.35,55.85,58.26,1.71
60,580.00,12.06,538.00,12.05,60.35,55.85,58.33,2.26
63,522.00,12.05,476.00,12.04,60.46,55.96,58.36,2.91
66,580.00,12.04,540.00,12.03,60.35,55.85,58.49,2.20
69,522.00,12.03,468.00,12.03,60.35,55.85,58.59,2.31
72,514.00,12.02,472.00,12.02,60.35,55.96,58.65,2.39
75,580.00,12.01,540.00,12.01,60.46,55.85,58.77,4.43
78,580.00,12.00,544.00,12.00,60.46,55.85,58.90,5.78
81,584.00,11.99,534.00,11.99,60.46,55.96,58.93,6.15
84,576.00,11.98,528.00,11.98,60.35,55.96,58.96,5.62
87,580.00,11.97,544.00,11.96,60.57,55.96,59.07,5.08
90,512.00,11.97,478.00,11.96,60.46,55.96,59.14,4.74
93,508.00,11.96,468.00,11.96,60.46,55.96,59.17,4.93
96,508.00,11.95,476.00,11.94,60.46,55.96,59.27,4.23
99,570.00,11.94,538.00,11.93,60.35,55.96,59.34,4.41
102,512.00,11.92,476.00,11.92,60.35,55.96,59.33,4.82
105,504.00,11.92,468.00,11.92,60.35,56.07,59.43,4.18
108,554.00,11.92,544.00,11.91,60.35,55.96,59.51,4.08
111,570.00,11.89,538.00,11.89,60.35,55.96,59.56,3.34
114,502.00,11.90,468.00,11.89,60.35,55.96,59.62,4.84
117,504.00,11.89,472.00,11.88,60.35,55.96,59.72,3.66
120,494.00,11.88,478.00,11.87,60.24,55.96,59.76,3.46
123,502.00,11.87,472.00,11.86,60.35,56.07,59.85,4.85
126,558.00,11.85,538.00,11.84,60.35,56.07,59.92,4.15
129,560.00,11.84,548.00,11.83,60.24,55.96,60.01,3.34
132,498.00,11.84,468.00,11.83,60.24,55.96,60.08,4.13
135,560.00,11.82,534.00,11.81,60.35,56.07,60.07,4.63
138,502.00,11.82,476.00,11.82,60.24,55.96,60.24,5.71
141,558.00,11.80,530.00,11.80,60.24,56.07,60.25,4.79
144,494.00,11.80,472.00,11.80,60.24,56.07,60.32,5.14
147,548.00,11.78,472.00,11.78,60.13,56.07,60.40,4.62
150,492.00,11.78,472.00,11.78,60.24,56.07,60.46,5.41
153,554.00,11.77,540.00,11.77,60.35,56.07,60.55,4.49
156,488.00,11.77,468.00,11.77,60.24,55.96,60.63,3.92
159,492.00,11.76,476.00,11.76,60.35,56.07,60.70,3.05
162,548.00,11.74,540.00,11.74,60.35,56.07,60.75,4.38
165,478.00,11.74,466.00,11.74,60.24,56.07,60.84,4.18
168,548.00,11.73,540.00,11.72,60.35,56.07,60.92,3.82
171,544.00,11.71,534.00,11.71,60.24,56.07,60.96,3.94
174,540.00,11.72,538.00,11.71,60.24,56.07,60.97,3.23
177,478.00,11.72,476.00,11.71,60.24,56.07,61.08,3.65
180,538.00,11.70,540.00,11.69,60.35,56.19,61.07,4.32
183,538.00,11.69,530.00,11.69,60.24,56.07,61.19,3.54
186,550.00,11.68,540.00,11.68,60.24,56.07,61.24,3.11
189,538.00,11.68,534.00,11.67,60.35,56.19,61.28,2.89
192,472.00,11.68,476.00,11.68,60.35,56.19,61.29,2.23
