# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
3,390.00,13.49,786.00,13.49,nan,nan,nan,49.21,52.81,100.00,1.13
6,430.00,13.50,724.00,13.49,nan,nan,nan,49.10,52.81,100.00,1.03
9,508.00,13.50,636.00,13.49,nan,nan,nan,49.10,52.81,100.00,0.93
12,518.00,13.50,638.00,13.49,nan,nan,nan,49.10,52.81,100.00,0.95
15,514.00,13.50,642.00,13.49,nan,nan,nan,49.10,52.81,100.00,1.15
18,514.00,13.50,646.00,13.50,nan,nan,nan,48.99,52.81,100.00,1.15
21,524.00,13.50,642.00,13.50,nan,nan,nan,48.99,52.70,100.00,1.05
24,452.00,13.50,718.00,13.49,nan,nan,nan,48.99,52.81,100.00,1.03
27,538.00,13.50,642.00,13.49,nan,nan,nan,48.88,52.81,100.00,1.05
30,530.00,13.50,642.00,13.49,nan,nan,nan,48.99,52.81,100.00,1.12
33,548.00,13.50,638.00,13.50,nan,nan,nan,48.88,52.81,100.00,1.15
36,550.00,13.50,642.00,13.50,nan,nan,nan,48.88,52.92,100.00,1.16
39,544.00,13.50,642.00,13.50,nan,nan,nan,48.88,52.92,100.00,1.05
42,482.00,13.50,724.00,13.49,nan,nan,nan,48.99,52.81,100.00,0.93
45,564.00,13.50,642.00,13.50,nan,nan,nan,48.99,52.81,100.00,0.95
48,482.00,13.50,720.00,13.49,nan,nan,nan,48.99,52.92,100.00,1.13
51,566.00,13.51,646.00,13.50,nan,nan,nan,48.99,52.81,100.00,1.43
54,576.00,13.50,642.00,13.50,nan,nan,nan,48.99,52.92,100.00,1.45
57,590.00,13.50,642.00,13.50,nan,nan,nan,48.88,52.92,100.00,1.72
60,584.00,13.51,646.00,13.50,nan,nan,nan,48.88,52.81,100.00,1.85
63,514.00,13.51,730.00,13.50,nan,nan,nan,48.99,52.81,100.00,1.64
66,600.00,13.51,642.00,13.50,nan,nan,nan,48.99,52.92,100.00,1.76
69,606.00,13.51,642.00,13.50,nan,nan,nan,48.99,52.81,100.00,2.14
72,610.00,13.51,642.00,13.51,nan,nan,nan,48.99,52.81,100.00,2.05
75,540.00,13.51,720.00,13.51,nan,nan,nan,48.88,52.81,100.00,2.06
78,626.00,13.51,646.00,13.51,nan,nan,nan,48.88,52.92,100.00,1.94
81,548.00,13.52,724.00,13.51,nan,nan,nan,48.88,52.92,100.00,1.94
84,638.00,13.51,646.00,13.51,nan,nan,nan,48.76,52.92,100.00,1.99
87,648.00,13.52,642.00,13.51,nan,nan,nan,48.65,52.92,100.00,1.94
90,648.00,13.52,646.00,13.52,nan,nan,nan,48.76,52.92,100.00,1.94
93,656.00,13.52,642.00,13.52,nan,nan,nan,48.65,52.92,100.00,1.74
96,584.00,13.52,728.00,13.52,nan,nan,nan,48.65,52.81,100.00,1.64
99,590.00,13.52,720.00,13.52,nan,nan,nan,48.65,52.92,100.00,1.43
102,672.00,13.52,648.00,13.52,nan,nan,nan,48.65,52.81,100.00,1.34
105,594.00,13.53,734.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.13
108,684.00,13.53,648.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.05
111,610.00,13.52,728.00,13.52,nan,nan,nan,48.65,52.92,100.00,0.93
114,682.00,13.53,646.00,13.53,nan,nan,nan,48.65,52.92,100.00,0.96
117,692.00,13.54,638.00,13.53,nan,nan,nan,48.65,52.81,100.00,0.85
120,698.00,13.54,646.00,13.53,nan,nan,nan,48.54,52.92,100.00,0.84
123,622.00,13.53,730.00,13.53,nan,nan,nan,48.65,52.92,100.00,0.85
126,620.00,13.53,730.00,13.53,nan,nan,nan,48.65,52.92,100.00,0.83
129,708.00,13.54,638.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.00
132,630.00,13.54,724.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.03
135,636.00,13.54,728.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.13
138,632.00,13.54,728.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.13
141,720.00,13.54,646.00,13.54,nan,nan,nan,48.65,52.92,100.00,1.05
144,724.00,13.54,642.00,13.54,nan,nan,nan,48.54,52.92,100.00,1.11
147,638.00,13.54,728.00,13.54,nan,nan,nan,48.65,53.04,100.00,1.03
150,646.00,13.54,730.00,13.54,nan,nan,nan,48.65,52.92,100.00,1.13
153,642.00,13.54,724.00,13.54,nan,nan,nan,48.65,52.92,100.00,1.23
156,730.00,13.55,646.00,13.54,nan,nan,nan,48.65,52.92,100.00,1.43
159,734.00,13.54,648.00,13.53,nan,nan,nan,48.65,52.92,100.00,1.33
162,734.00,13.55,642.00,13.54,nan,nan,nan,48.65,52.92,100.00,1.15
165,744.00,13.55,646.00,13.55,nan,nan,nan,48.76,53.04,100.00,0.96
168,666.00,13.55,728.00,13.54,nan,nan,nan,48.65,52.92,100.00,0.93
171,662.00,13.55,734.00,13.55,nan,nan,nan,48.65,52.92,100.00,1.03
174,666.00,13.55,734.00,13.55,nan,nan,nan,48.76,53.04,100.00,1.23
177,666.00,13.55,728.00,13.55,nan,nan,nan,48.65,52.92,100.00,1.13
180,666.00,13.55,720.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.23
183,666.00,13.55,730.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.23
186,662.00,13.55,728.00,13.55,nan,nan,nan,48.65,52.92,100.00,1.57
189,750.00,13.55,646.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.51
192,748.00,13.56,646.00,13.56,nan,nan,nan,48.76,53.04,100.00,1.26
195,748.00,13.56,646.00,13.56,nan,nan,nan,48.65,52.92,100.00,1.13
198,750.00,13.56,646.00,13.55,nan,nan,nan,48.54,52.92,100.00,1.39
201,750.00,13.56,648.00,13.55,nan,nan,nan,48.76,52.92,100.00,1.23
204,744.00,13.56,642.00,13.55,nan,nan,nan,48.65,52.81,100.00,1.36
207,666.00,13.55,728.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.56
210,734.00,13.55,642.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.56
213,740.00,13.56,646.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.46
216,740.00,13.56,648.00,13.55,nan,nan,nan,48.65,53.04,100.00,1.83
219,734.00,13.56,648.00,13.56,nan,nan,nan,48.54,53.04,100.00,2.34
222,740.00,13.55,646.00,13.55,nan,nan,nan,48.54,53.04,100.00,2.15
225,646.00,13.56,720.00,13.55,nan,nan,nan,48.54,53.04,100.00,1.95
228,646.00,13.56,724.00,13.55,nan,nan,nan,48.54,53.04,100.00,1.57
