# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], DS18 Temp(F)[MAIN], DS18 Temp(F)[Batt], DS18 Temp(F)[MCU], Light (%), Wind Speed
4,508.00,13.52,476.00,13.52,48.99,53.15,54.05,100.00,1.35
7,558.00,13.53,544.00,13.53,48.99,53.15,54.05,100.00,1.32
10,610.00,13.53,478.00,13.53,49.10,53.15,54.05,100.00,1.31
13,596.00,13.53,482.00,13.53,48.99,53.15,54.16,100.00,1.16
16,610.00,13.53,488.00,13.53,49.10,53.15,54.16,100.00,1.05
19,540.00,13.53,550.00,13.53,49.10,53.15,54.05,100.00,0.92
22,534.00,13.52,544.00,13.52,49.10,53.04,54.05,100.00,0.82
25,596.00,13.52,476.00,13.52,49.10,53.04,54.05,100.00,1.14
28,600.00,13.52,476.00,13.52,49.21,53.04,54.05,100.00,0.92
31,600.00,13.53,482.00,13.53,49.21,53.15,54.16,100.00,0.87
34,590.00,13.53,478.00,13.52,49.10,53.15,54.05,100.00,0.76
37,580.00,13.53,482.00,13.52,49.21,53.15,54.16,100.00,0.75
40,518.00,13.52,550.00,13.52,49.21,53.04,54.16,100.00,0.62
43,594.00,13.52,478.00,13.52,49.21,53.15,54.16,100.00,0.52
46,584.00,13.52,488.00,13.52,49.10,53.04,54.16,100.00,0.55
49,580.00,13.52,482.00,13.52,49.21,53.15,54.16,100.00,0.84
52,570.00,13.52,484.00,13.52,49.21,53.15,54.16,100.00,1.07
55,820.00,13.52,482.00,13.51,49.10,53.15,54.16,100.00,1.25
58,518.00,13.52,534.00,13.51,49.10,53.15,54.16,100.00,1.45
61,512.00,13.52,544.00,13.52,49.21,53.15,54.16,100.00,1.45
64,504.00,13.52,540.00,13.52,49.21,53.15,54.16,100.00,1.42
67,502.00,13.52,538.00,13.52,49.10,53.15,54.16,100.00,2.06
70,508.00,13.52,548.00,13.52,49.10,53.15,54.16,100.00,1.75
73,566.00,13.52,484.00,13.52,49.10,53.15,54.16,100.00,1.55
76,502.00,13.52,544.00,13.51,49.10,53.15,54.16,100.00,1.72
79,570.00,13.52,488.00,13.52,49.10,53.15,54.16,100.00,1.63
82,508.00,13.52,548.00,13.52,48.99,53.26,54.16,100.00,1.65
